受渡日,時刻コード,売り入札量(kWh),買い入札量(kWh),約定総量(kWh),システムプライス(円/kWh),エリアプライス北海道(円/kWh),エリアプライス東北(円/kWh),エリアプライス東京(円/kWh),エリアプライス中部(円/kWh),エリアプライス北陸(円/kWh),エリアプライス関西(円/kWh),エリアプライス中国(円/kWh),エリアプライス四国(円/kWh),エリアプライス九州(円/kWh),売りブロック入札総量(kWh),売りブロック約定総量(kWh),買いブロック入札総量(kWh),買いブロック約定総量(kWh)
2025/04/01,1,15558150,15358850,11414250,13.50,15.41,15.41,15.41,11.00,11.00,11.00,11.00,7.81,11.00,3297400,757450,1295500,864600
2025/04/01,2,16030300,15556550,11350600,13.22,14.25,14.25,14.25,11.00,11.00,11.00,11.00,7.73,11.00,3594000,774650,1429200,991100
2025/04/01,3,16183050,15639050,11353350,12.89,14.01,14.01,14.01,10.87,10.87,10.87,10.87,7.78,10.87,3654000,761100,1450700,971350
2025/04/01,4,16372450,15436300,11323350,12.48,13.93,13.93,13.93,10.87,10.87,10.87,10.87,7.68,10.87,3812350,724400,1485950,1008350
2025/04/01,5,16386100,15401600,11222950,12.50,13.59,13.59,13.59,11.27,11.27,11.27,11.27,7.71,11.27,3934650,689100,1468600,1015200
2025/04/01,6,16478900,15502400,11241150,12.50,13.54,13.54,13.54,12.26,12.26,12.26,12.26,7.78,12.26,4105650,657400,1509900,1045200
2025/04/01,7,16783200,15616250,11283000,12.65,13.47,13.47,13.47,12.38,12.38,12.38,12.38,7.77,12.38,4199550,656450,1465300,1071150
2025/04/01,8,16792750,15717300,11315200,12.89,13.47,13.47,13.47,12.89,12.89,12.89,12.89,7.77,12.89,4228950,655950,1467100,1073350
2025/04/01,9,17113850,16103150,11650650,12.89,13.42,13.42,13.42,13.00,13.00,13.00,13.00,7.79,13.00,4230200,656200,1565200,1070600
2025/04/01,10,17122150,16198650,11655650,12.92,13.42,13.42,13.42,13.00,13.00,13.00,13.00,7.77,13.00,4272900,654650,1563950,1068250
2025/04/01,11,17418000,16441050,11753700,13.22,13.48,13.48,13.48,13.00,13.00,13.00,13.00,7.80,13.00,4336100,654800,1409950,911200
2025/04/01,12,17606850,16873700,12019750,13.47,13.56,13.56,13.56,13.56,13.56,13.56,13.56,7.82,13.56,4637200,839300,1253300,774400
2025/04/01,13,17609500,17329250,12356500,14.18,14.90,14.90,14.90,14.90,14.90,14.90,14.90,7.84,14.90,4510600,842200,909250,792100
2025/04/01,14,17783400,18013300,13052250,15.00,16.00,16.00,16.00,16.00,16.00,16.00,16.00,7.78,16.00,4253200,850200,864500,760200
2025/04/01,15,18203500,18125200,13659950,14.74,15.76,15.76,15.76,15.76,15.76,15.76,15.76,7.76,15.76,3904150,859950,773150,677350
2025/04/01,16,18567300,18462550,14306600,14.47,15.41,15.41,15.73,15.73,15.73,15.73,15.73,5.10,15.73,4059150,1075800,812050,685750
2025/04/01,17,20059400,20266300,15812450,15.00,15.73,15.73,15.73,15.73,15.73,15.73,15.73,3.00,15.73,4617200,1493300,1106050,665000
2025/04/01,18,21267200,22194400,17098900,16.00,18.06,18.06,18.06,15.73,15.73,15.73,14.47,0.01,14.47,5081100,1770600,1549350,719300
2025/04/01,19,21841000,23281450,17290700,15.73,11.25,19.01,19.01,15.73,15.73,15.73,15.73,0.01,15.73,5427350,1778500,2316050,775300
2025/04/01,20,22343600,23893000,17590450,15.73,8.00,16.08,18.23,15.73,15.73,15.73,14.47,0.01,14.47,5431050,1833100,3076350,788950
2025/04/01,21,22632600,24349850,17549200,15.73,7.86,15.00,18.18,15.73,15.73,15.73,13.23,0.01,13.23,5365000,1793850,3460000,814900
2025/04/01,22,23068650,24088450,17719100,14.43,7.11,15.00,18.28,15.73,15.73,15.73,9.33,0.01,9.33,5507300,1822300,3443350,744750
2025/04/01,23,23342200,24154650,17704000,13.94,7.11,15.00,18.23,15.73,15.73,15.73,8.34,0.01,8.34,5706100,2006050,3618250,784400
2025/04/01,24,23618500,23716000,17510350,13.48,7.11,15.00,18.00,12.00,12.00,12.00,8.13,0.01,8.13,5788950,1957100,3592850,761750
2025/04/01,25,24201200,22537850,16585150,8.13,7.11,15.00,17.60,4.76,4.76,4.76,4.76,0.01,4.76,6049350,1857950,3992900,700550
2025/04/01,26,23993850,22776250,16365000,8.01,8.01,16.00,16.00,4.76,4.76,4.76,4.76,0.01,4.76,5884700,1819300,4528650,706850
2025/04/01,27,23606400,23948200,16901100,12.20,10.60,18.00,18.00,7.90,7.90,7.90,7.90,0.01,7.90,5847550,1795800,4529000,734400
2025/04/01,28,22956450,24038800,16910050,13.47,10.47,18.28,18.28,8.00,8.00,8.00,8.00,0.01,8.00,5498950,1679850,4471250,714350
2025/04/01,29,23051400,23325450,16720750,13.56,11.64,18.37,18.37,8.13,8.13,8.13,8.13,0.01,8.13,5923700,1656450,3935750,721850
2025/04/01,30,22603150,22506000,16686000,13.91,10.65,20.00,20.00,8.34,8.34,8.34,8.34,0.01,8.34,6118250,1831850,3150600,746750
2025/04/01,31,21799150,21311750,16307550,13.95,18.64,18.64,18.64,8.34,8.34,8.34,8.34,0.01,8.34,5795700,1971150,2414100,704500
2025/04/01,32,21010650,21261950,16226200,15.12,20.30,20.30,20.30,14.09,13.00,13.00,12.18,0.01,12.18,5731550,1941700,1822300,755350
2025/04/01,33,20603900,20898800,16304600,15.73,20.30,20.30,20.30,14.47,14.47,14.47,14.47,0.01,14.47,5334250,1677850,1234950,790250
2025/04/01,34,20225550,20744400,15896350,16.47,20.30,20.30,20.30,15.73,15.73,15.73,15.73,0.01,15.73,4930250,1461700,900500,828850
2025/04/01,35,19527200,20488000,15429300,18.02,20.30,20.30,20.30,15.73,15.73,15.73,15.73,0.01,15.73,4569200,1341400,944800,830800
2025/04/01,36,19773600,20597700,15506150,17.60,20.30,20.30,20.30,15.73,15.73,15.73,15.73,5.00,15.73,4227200,1230250,950700,836650
2025/04/01,37,19211800,20642400,15256150,18.02,20.30,20.30,20.30,15.73,15.73,15.73,15.73,7.73,15.73,4031550,1187950,925000,810950
